words,char,value
peridium,8,95
peridot,7,87
peridotic,9,99
peridotite,10,121
peridotitic,11,128
periductal,10,109
periegesis,10,112
periegetic,10,97
perielesis,10,117
periencephalitis,16,169
perienteric,11,122
perienteritis,13,167
perienteron,11,139
periependymal,13,143
periesophageal,14,137
periesophagitis,15,176
perifistular,12,154
perifoliary,11,134
perifollicular,14,157
perifolliculitis,16,195
perigangliitis,14,155
periganglionic,14,139
perigastric,11,125
perigastritis,13,170
perigastrula,12,147
perigastrular,13,165
perigastrulation,16,205
perigeal,8,73
perigee,7,65
perigemmal,10,99
perigenesis,11,126
perigenital,11,116
perigeum,8,94
periglandular,13,138
perigloea,9,88
periglottic,11,134
periglottis,11,150
perignathic,11,110
perigon,7,84
perigonadial,12,111
perigonal,9,97
perigone,8,89
perigonial,10,106
perigonium,10,127
perigraph,9,98
perigraphic,11,110
perigynial,10,116
perigynium,10,137
perigynous,10,149
perigyny,8,119
perihelial,10,95
perihelian,10,97
perihelion,10,111
perihelium,10,116
perihepatic,11,110
perihepatitis,13,155
perihermenial,13,133
perihernial,11,115
perihysteric,12,155
perijejunitis,13,165
perijove,8,100
perikaryon,10,132
perikronion,11,144
peril,5,60
perilabyrinth,13,157
perilabyrinthitis,17,214
perilaryngeal,13,143
perilaryngitis,14,182
perilenticular,14,163
periligamentous,15,184
Perilla,7,73
perilless,9,115
perilobar,9,96
perilous,8,115
perilously,10,152
perilousness,12,172
perilsome,9,112
perilymph,9,122
perilymphangial,15,166
perilymphangitis,16,201
perilymphatic,13,155
perimartium,11,143
perimastitis,12,158
perimedullary,13,159
perimeningitis,14,167
perimeter,9,109
perimeterless,13,164
perimetral,10,117
perimetric,10,116
perimetrical,12,129
perimetrically,14,166
perimetritic,12,145
perimetritis,12,161
perimetrium,11,147
perimetry,9,129
perimorph,9,118
perimorphic,11,130
perimorphism,12,159
perimorphous,12,173
perimyelitis,12,160
perimysial,10,127
perimysium,10,148
perine,6,67
perineal,8,80
perineocele,11,107
perineoplastic,14,162
perineoplasty,13,175
perineorrhaphy,14,176
perineoscrotal,14,170
perineostomy,12,174
perineosynthesis,16,220
perineotomy,11,155
perineovaginal,14,148
perineovulvar,13,178
perinephral,11,122
perinephrial,12,131
perinephric,11,121
perinephritic,13,150
perinephritis,13,166
perinephrium,12,152
perineptunium,13,181
perineum,8,101
perineural,10,119
perineurial,11,128
perineuritis,12,163
perineurium,11,149
perinium,8,105
perinuclear,11,122
periocular,10,118
period,6,67
periodate,9,93
periodic,8,79
periodical,10,92
periodicalism,13,133
periodicalist,13,140
periodicalize,13,132
periodically,12,129
periodicalness,14,149
periodicity,11,133
periodide,9,85
periodize,9,107
periodogram,11,121
periodograph,12,132
periodology,11,141
periodontal,11,129
periodontia,11,126
periodontic,11,128
periodontist,12,164
periodontitis,13,173
periodontium,12,159
periodontoclasia,16,176
periodontologist,16,213
periodontology,14,190
periodontum,11,150
periodoscope,12,140
perioeci,8,80
perioecians,11,114
perioecic,9,83
perioecid,9,84
perioecus,9,111
perioesophageal,15,152
perioikoi,9,107
periomphalic,12,125
perionychia,11,123
perionychium,12,156
perionyx,8,126
perionyxis,10,154
perioophoritis,14,192
periophthalmic,14,153
periophthalmitis,16,198
periople,8,96
perioplic,9,103
perioptic,9,111
perioptometry,13,195
perioral,8,94
periorbit,9,112
periorbita,10,113
periorbital,11,125
periorchitis,12,149
periost,7,102
periostea,9,108
periosteal,10,120
periosteitis,12,164
periosteoalveolar,17,208
periosteoma,11,136
periosteomedullitis,19,246
periosteomyelitis,17,234
periosteophyte,14,196
periosteorrhaphy,16,216
periosteotome,13,175
periosteotomy,13,195
periosteous,11,162
periosteum,10,141
periostitic,11,143
periostitis,11,159
periostoma,10,131
periostosis,11,164
periostotomy,12,190
periostracal,12,137
periostracum,12,158
periotic,8,95
periovular,10,137
peripachymeningitis,19,220
peripancreatic,14,138
peripancreatitis,16,183
peripapillary,13,158
Peripatetic,11,122
peripatetic,11,122
peripatetical,13,135
peripatetically,15,172
peripateticate,14,148
Peripateticism,14,163
Peripatidae,11,104
Peripatidea,11,104
peripatize,10,125
peripatoid,10,113
Peripatopsidae,14,154
Peripatopsis,12,163
Peripatus,9,125
peripenial,10,105
peripericarditis,16,179
peripetalous,12,157
peripetasma,11,123
peripeteia,10,104
peripetia,9,99
peripety,8,114
periphacitis,12,133
peripharyngeal,14,155
peripherad,10,100
peripheral,10,108
peripherally,12,145
peripherial,11,117
peripheric,10,107
peripherical,12,120
peripherically,14,157
peripherocentral,16,183
peripheroceptor,15,187
peripheromittor,15,205
peripheroneural,15,181
peripherophose,14,173
periphery,9,120
periphlebitic,13,132
periphlebitis,13,148
periphractic,12,126
periphrase,10,115
periphrases,11,134
periphrasis,11,138
periphrastic,12,142
periphrastical,14,155
periphrastically,16,192
periphraxy,10,140
periphyllum,11,155
periphyse,9,121
periphysis,10,144
Periplaneta,11,117
periplasm,9,109
periplast,9,116
periplastic,11,128
periplegmatic,13,134
peripleural,11,133
peripleuritis,13,177
Periploca,9,95
periplus,8,116
peripneumonia,13,156
peripneumonic,13,158
peripneumony,12,171
peripneustic,12,155
peripolar,9,110
peripolygonal,13,165
periportal,10,130
periproct,9,120
periproctal,11,133
periproctitis,13,177
periproctous,12,175
periprostatic,13,169
periprostatitis,15,214
peripteral,10,120
peripterous,11,162
periptery,9,132
peripylephlebitis,17,206
peripyloric,11,146
perique,7,91
perirectal,10,107
perirectitis,12,151
perirenal,9,98
perisalpingitis,15,183
perisarc,8,89
perisarcal,10,102
perisarcous,11,144
perisaturnium,13,184
periscian,9,94
periscians,10,113
periscii,8,88
perisclerotic,13,152
periscopal,10,114
periscope,9,106
periscopic,10,113
periscopical,12,126
periscopism,11,142
perish,6,75
perishability,13,153
perishable,10,95
perishableness,14,152
perishably,10,115
perished,8,84
perishing,9,105
perishingly,11,142
perishless,10,130
perishment,10,127
perisigmoiditis,15,181
perisinuitis,12,168
perisinuous,11,166
perisinusitis,13,187
perisoma,8,96
perisomal,9,108
perisomatic,11,128
perisome,8,100
perisomial,10,117
perisperm,9,119
perispermal,11,132
perispermatitis,15,197
perispermic,11,131
perisphere,10,119
perispheric,11,126
perispherical,13,139
perisphinctean,14,157
Perisphinctes,13,161
Perisphinctidae,15,156
perisphinctoid,14,165
perisplanchnic,14,147
perisplanchnitis,16,192
perisplenetic,13,151
perisplenic,11,126
perisplenitis,13,171
perispome,9,116
perispomenon,12,159
perispondylic,13,165
perispondylitis,15,210
perispore,9,121
Perisporiaceae,14,140
perisporiaceous,15,189
Perisporiales,13,162
perissad,8,91
perissodactyl,13,166
Perissodactyla,14,167
perissodactylate,16,192
perissodactyle,14,171
perissodactylic,15,178
perissodactylism,16,207
perissodactylous,16,221
perissologic,12,147
perissological,14,160
perissology,11,160
perissosyllabic,15,184
peristalith,11,137
peristalsis,11,147
peristaltic,11,132
peristaltically,15,182
peristaphyline,14,177
peristaphylitis,15,206
peristele,9,109
peristerite,11,144
peristeromorph,14,195
Peristeromorphae,16,201
peristeromorphic,16,207
peristeromorphous,17,250
peristeronic,12,151
peristerophily,14,195
peristeropod,12,160
peristeropodan,14,175
peristeropode,13,165
Peristeropodes,14,184
peristeropodous,15,215
peristethium,12,163
peristole,9,119
peristoma,9,116
peristomal,10,128
peristomatic,12,148
peristome,9,120
peristomial,11,137
peristomium,11,158
peristrephic,12,146
peristrephical,14,159
peristrumitis,13,196
peristrumous,12,194
peristylar,10,143
peristyle,9,129
peristylium,11,167
peristylos,10,158
peristylum,10,158
perisynovial,12,165
perisystole,11,163
perisystolic,12,170
perit,5,68
perite,6,73
peritectic,10,108
peritendineum,13,153
peritenon,9,116
perithece,9,89
perithecial,11,106
perithecium,11,127
perithelial,11,115
perithelioma,12,131
perithelium,11,136
perithoracic,12,125
perithyreoiditis,16,209
perithyroiditis,15,204
peritomize,10,136
peritomous,10,151
peritomy,8,121
peritoneal,10,115
peritonealgia,13,132
peritoneally,12,152
peritoneocentesis,17,211
peritoneoclysis,15,204
peritoneomuscular,17,225
peritoneopathy,14,187
peritoneopericardial,20,213
peritoneopexy,13,187
peritoneoplasty,15,210
peritoneoscope,14,175
peritoneoscopy,14,195
peritoneotomy,13,190
peritoneum,10,136
peritonism,10,138
peritonital,11,139
peritonitic,11,138
peritonitis,11,154
peritonsillar,13,168
peritonsillitis,15,206
peritracheal,12,116
peritrema,9,105
peritrematous,13,180
peritreme,9,109
peritrich,9,106
Peritricha,10,107
peritrichan,11,121
peritrichic,11,118
peritrichous,12,161
peritrichously,14,198
peritroch,9,112
peritrochal,11,125
peritrochanteric,16,182
peritrochium,12,155
peritrochoid,12,140
peritropal,10,130
peritrophic,11,137
peritropous,11,172
perityphlic,11,141
perityphlitic,13,170
perityphlitis,13,186
periumbilical,13,130
periungual,10,124
periuranium,11,145
periureteric,12,147
periureteritis,14,192
periurethral,12,151
periurethritis,14,195
periuterine,11,140
periuvular,10,143
perivaginal,11,114
perivaginitis,13,158
perivascular,12,145
perivasculitis,14,183
perivenous,10,144
perivertebral,13,151
perivesical,11,119
perivisceral,12,137
perivisceritis,14,181
perivitellin,12,151
perivitelline,13,156
periwig,7,87
periwigpated,12,133
periwinkle,10,122
periwinkled,11,126
periwinkler,11,140
perizonium,10,146
perjink,7,83
perjinkety,10,133
perjinkities,12,145
perjinkly,9,120
perjure,7,93
perjured,8,97
perjuredly,10,134
perjuredness,12,154
perjurer,8,111
perjuress,9,131
perjurious,10,152
perjuriously,12,189
perjuriousness,14,209
perjurous,9,143
perjury,7,113
perjurymonger,13,185
perjurymongering,16,215
perk,4,50
perkily,7,96
Perkin,6,73
perkin,6,73
perkiness,9,116
perking,7,80
perkingly,9,117
perkish,7,86
perknite,8,98
perky,5,75
Perla,5,52
perlaceous,10,115
Perlaria,8,80
perle,5,56
perlection,10,117
perlid,6,64
Perlidae,8,70
perligenous,11,141
perlingual,10,115
perlingually,12,152
perlite,7,85
perlitic,8,92
perloir,7,93
perlustrate,11,155
perlustration,13,188
perlustrator,12,183
perm,4,52
permafrost,10,131
Permalloy,9,117
permalloy,9,117
permanence,10,94
permanency,10,114
permanent,9,106
permanently,11,143
permanentness,13,163
permanganate,12,115
permanganic,11,101
permansive,10,122
permeability,12,135
permeable,9,77
permeableness,13,134
permeably,9,97
permeameter,11,119
permeance,9,80
permeant,8,92
permeate,8,83
permeation,10,116
permeative,10,114
permeator,9,111
Permiak,7,73
Permian,7,76
permillage,10,98
permirific,10,106
permissibility,14,185
permissible,11,127
permissibleness,15,184
permissibly,11,147
permission,10,137
permissioned,12,146
permissive,10,135
permissively,12,172
permissiveness,14,192
permissory,10,157
permit,6,81
permittable,11,121
permitted,9,110
permittedly,11,147
permittee,9,111
permitter,9,124
permittivity,12,186
permixture,10,149
Permocarboniferous,18,213
permonosulphuric,16,223
permoralize,11,138
permutability,13,171
permutable,10,113
permutableness,14,170
permutably,10,133
permutate,9,119
permutation,11,152
permutational,13,165
permutationist,14,200
permutator,10,147
permutatorial,13,169
permutatory,11,172
permute,7,98
permuter,8,116
pern,4,53
pernancy,8,96
pernasal,8,86
pernavigate,11,118
Pernettia,9,108
pernicious,10,129
perniciously,12,166
perniciousness,14,186
pernicketiness,14,167
pernickety,10,126
pernine,7,81
Pernis,6,81
pernitrate,10,126
pernitric,9,112
pernoctation,12,150
pernor,6,86
pernyi,6,87
peroba,6,57
perobrachius,12,135
perocephalus,12,139
perochirus,10,132
perodactylus,12,159
Perodipus,9,123
Perognathinae,13,133
Perognathus,11,144
Peromedusae,11,122
Peromela,8,85
peromelous,10,139
peromelus,9,124
Peromyscus,10,154
peronate,8,94
peroneal,8,86
peroneocalcaneal,16,140
peroneotarsal,13,159
peroneotibial,13,141
peronial,8,90
peronium,8,111
Peronospora,11,152
Peronosporaceae,15,166
peronosporaceous,16,215
Peronosporales,14,188
peropod,7,89
Peropoda,8,90
peropodous,10,144
peropus,7,110
peroral,7,85
perorally,9,122
perorate,8,98
peroration,10,131
perorational,12,144
perorative,10,129
perorator,9,126
peroratorical,13,151
peroratorically,15,188
peroratory,10,151
perosis,7,101
perosmate,9,112
perosmic,8,98
perosomus,9,141
perotic,7,86
perovskite,10,140
peroxidase,10,116
peroxidate,10,117
peroxidation,12,150
peroxide,8,96
peroxidic,9,103
peroxidize,10,131
peroxidizement,14,183
peroxy,6,103
peroxyl,7,115
perozonid,9,122
perozonide,10,127
perpend,7,78
perpendicular,13,142
perpendicularity,16,196
perpendicularly,15,179
perpera,7,79
perperfect,10,112
perpetrable,11,118
perpetrate,10,124
perpetration,12,157
perpetrator,11,152
perpetratress,13,180
perpetratrix,12,170
perpetuable,11,121
perpetual,9,114
perpetualism,12,155
perpetualist,12,162
perpetuality,12,168
perpetually,11,151
perpetualness,13,171
perpetuana,10,117
perpetuance,11,124
perpetuant,10,136
perpetuate,10,127
perpetuation,12,160
perpetuator,11,155
perpetuity,10,155
perplantar,10,121
perplex,7,96
perplexable,11,116
perplexed,9,105
perplexedly,11,142
perplexedness,13,162
perplexer,9,119
perplexing,10,126
perplexingly,12,163
perplexity,10,150
perplexment,11,148
perplication,12,138
perquadrat,10,121
perquest,8,121
perquisite,10,139
perquisition,12,172
perquisitor,11,167
perradial,9,84
perradially,11,121
perradiate,10,97
perradius,9,111
perridiculous,13,170
perrier,7,89
Perrinist,9,128
perron,6,86
perruche,8,94
perrukery,9,137
perruthenate,12,151
perruthenic,11,137
Perry,5,82
perry,5,82
perryman,8,110
Persae,6,64
persalt,7,91
perscent,8,100
perscribe,9,95
perscrutate,11,146
perscrutation,13,179
perscrutator,12,174
perse,5,63
Persea,6,64
persecute,9,112
persecutee,10,117
persecuting,11,137
persecutingly,13,174
persecution,11,145
persecutional,13,158
persecutive,11,143
persecutiveness,15,200
persecutor,10,140
persecutory,11,165
persecutress,12,168
persecutrix,11,158
Perseid,7,76
perseite,8,97
perseitol,9,119
perseity,8,117
persentiscency,14,175
Persephassa,11,127
Persephone,10,121
Persepolitan,12,150
perseverance,12,131
perseverant,11,143
perseverate,11,134
perseveration,13,167
persevere,9,113
persevering,11,138
perseveringly,13,175
Persian,7,82
Persianist,10,130
Persianization,14,176
Persianize,10,122
Persic,6,70
Persicaria,10,99
persicary,9,114
Persicize,9,110
persico,7,85
persicot,8,105
persienne,9,105
persiennes,10,124
persiflage,10,98
persiflate,10,111
persilicic,10,103
persimmon,9,122
Persis,6,86
persis,6,86
Persism,7,99
persist,7,106
persistence,11,133
persistency,11,153
persistent,10,145
persistently,12,182
persister,9,129
persisting,10,136
persistingly,12,173
persistive,10,142
persistively,12,179
persistiveness,14,199
persnickety,11,145
person,6,87
persona,7,88
personable,10,107
personableness,14,164
personably,10,127
personage,9,100
personal,8,100
personalia,10,110
personalism,11,141
personalist,11,148
personalistic,13,160
personality,11,154
personalization,15,194
personalize,11,140
personally,10,137
personalness,12,157
personalty,10,145
personate,9,113
personately,11,150
personating,11,138
personation,11,146
personative,11,144
personator,10,141
personed,8,96
personeity,10,146
personifiable,13,131
personifiant,12,146
personification,15,173
personificative,15,171
personificator,14,168
personifier,11,134
personify,9,127
personization,13,181
personize,9,127
personnel,9,118
personship,10,139
perspection,11,140
perspective,11,138
perspectived,12,142
perspectiveless,15,193
perspectively,13,175
perspectivity,13,187
perspectograph,14,167
perspectometer,14,178
perspicacious,13,154
perspicaciously,15,191
perspicaciousness,17,211
perspicacity,12,144
perspicuity,11,161
perspicuous,11,162
perspicuously,13,199
perspicuousness,15,219
perspirability,14,179
perspirable,11,121
perspirant,10,136
perspirate,10,127
perspiration,12,160
perspirative,12,158
perspiratory,12,180
perspire,8,106
perspiringly,12,168
perspiry,8,126
perstringe,10,131
perstringement,14,183
persuadability,14,162
persuadable,11,104
persuadableness,15,161
persuadably,11,124
persuade,8,89
persuaded,9,93
persuadedly,11,130
persuadedness,13,150
persuader,9,107
persuadingly,12,151
persuasibility,14,185
persuasible,11,127
persuasibleness,15,184
persuasibly,11,147
persuasion,10,137
persuasive,10,135
persuasively,12,172
persuasiveness,14,192
persuasory,10,157
persulphate,11,141
persulphide,11,133
persulphocyanate,16,199
persulphocyanic,15,185
persulphuric,12,166
persymmetric,12,164
persymmetrical,14,177
pert,4,59
pertain,7,83
pertaining,10,113
pertainment,11,135
perten,6,78
perthiocyanate,14,160
perthiocyanic,13,146
perthiotophyre,14,198
perthite,8,101
perthitic,9,108
perthitically,13,158
perthosite,10,135
pertinacious,12,150
pertinaciously,14,187
pertinaciousness,16,207
pertinacity,11,140
pertinence,10,109
pertinency,10,129
pertinent,9,121
pertinently,11,158
pertinentness,13,178
pertish,7,95
pertly,6,96
pertness,8,116
perturb,7,100
perturbability,14,178
perturbable,11,120
perturbance,11,123
perturbancy,11,143
perturbant,10,135
perturbate,10,126
perturbation,12,159
perturbational,14,172
perturbatious,13,185
perturbative,12,157
perturbator,11,154
perturbatory,12,179
perturbatress,13,182
perturbatrix,12,172
perturbed,9,109
perturbedly,11,146
perturbedness,13,166
perturber,9,123
perturbing,10,130
perturbingly,12,167
perturbment,11,152
Pertusaria,10,128
Pertusariaceae,14,142
pertuse,7,104
pertused,8,108
pertusion,9,137
pertussal,9,131
pertussis,9,146
perty,5,84
Peru,4,60
Perugian,8,91
Peruginesque,12,157
peruke,6,76
perukeless,10,131
perukier,8,103
perukiership,12,155
perula,6,73
Perularia,9,101
perulate,8,98
perule,6,77
Perun,5,74
perusable,9,99
perusal,7,92
peruse,6,84
peruser,7,102
Peruvian,8,106
Peruvianize,11,146
pervade,7,71
pervadence,10,93
pervader,8,89
pervading,9,96
pervadingly,11,133
pervadingness,13,153
pervagate,9,95
pervagation,11,128
pervalvar,9,115
pervasion,9,119
pervasive,9,117
pervasively,11,154
pervasiveness,13,174
perverse,8,108
perversely,10,145
perverseness,12,165
perversion,10,141
perversity,10,157
perversive,10,139
pervert,7,104
perverted,9,113
pervertedly,11,150
pervertedness,13,170
perverter,9,127
pervertibility,14,190
pervertible,11,132
pervertibly,11,152
pervertive,10,140
perviability,12,148
perviable,9,90
pervicacious,12,141
pervicaciously,14,178
pervicaciousness,16,198
pervicacity,11,131
pervigilium,11,141
pervious,8,125
perviously,10,162
perviousness,12,182
pervulgate,10,127
pervulgation,12,160
perwitsky,9,146
pes,3,40
pesa,4,41
Pesach,6,52
pesade,6,50
pesage,6,53
Pesah,5,49
peseta,6,66
peshkar,7,78
peshkash,8,87
peshwa,6,72
peshwaship,10,124
peskily,7,97
peskiness,9,117
pesky,5,76
peso,4,55
pess,4,59
pessary,7,103
pessimal,8,94
pessimism,9,122
pessimist,9,129
pessimistic,11,141
pessimistically,15,191
pessimize,9,121
pessimum,8,115
pessomancy,10,130
pessoner,8,111
pessular,8,111
pessulus,8,132
pest,4,60
Pestalozzian,12,164
Pestalozzianism,15,205
peste,5,65
pester,6,83
pesterer,8,106
pesteringly,11,150
pesterment,10,135
pesterous,9,138
pestersome,10,135
pestful,7,99
pesthole,8,100
pesthouse,9,128
pesticidal,10,98
pesticide,9,90
pestiduct,9,117
pestiferous,11,153
pestiferously,13,190
pestiferousness,15,210
pestifugous,11,158
pestify,7,100
pestilence,10,108
pestilenceweed,14,145
pestilencewort,14,184
pestilent,9,120
pestilential,12,142
pestilentially,14,179
pestilentialness,16,199
pestilently,11,157
pestle,6,77
pestological,12,134
pestologist,11,157
pestology,9,134
pestproof,9,130
pet,3,41
petal,5,54
petalage,8,67
petaled,7,63
Petalia,7,64
petaliferous,12,147
petaliform,10,115
Petaliidae,10,82
petaline,8,82
petalism,8,95
petalite,8,88
petalled,8,75
petalless,9,109
petallike,9,91
petalocerous,12,150
petalodic,9,85
petalodont,10,122
petalodontid,12,135
Petalodontidae,14,141
petalodontoid,13,150
Petalodus,9,113
petalody,8,98
petaloid,8,82
petaloidal,10,95
petaloideous,12,142
petalomania,11,107
petalon,7,83
Petalostemon,12,155
petalous,8,109
petalwise,9,110
petaly,6,79
petard,6,64
petardeer,9,92
petardier,9,96
petary,6,85
Petasites,9,114
petasos,7,95
petasus,7,101
petaurine,9,109
petaurist,9,129
Petaurista,10,130
Petauristidae,13,148
Petauroides,11,133
Petaurus,8,121
petchary,8,96
petcock,7,73
Pete,4,46
pete,4,46
peteca,6,50
petechiae,9,72
petechial,9,79
petechiate,10,92
peteman,7,74
Peter,5,64
peter,5,64
Peterkin,8,98
Peterloo,8,106
peterman,8,92
peternet,8,103
petersham,9,105
peterwort,9,140
petful,6,80
petiolar,8,96
petiolary,9,121
Petiolata,9,99
petiolate,9,103
petiolated,10,107
petiole,7,82
petioled,8,86
Petioliventres,14,189
petiolular,10,129
petiolulate,11,136
petiolule,9,115
petiolus,8,117
petit,5,70
petite,6,75
petiteness,10,132
petitgrain,10,119
petition,8,108
petitionable,12,128
petitional,10,121
petitionarily,13,173
petitionary,11,152
petitionee,10,118
petitioner,10,131
petitionist,11,156
petitionproof,13,178
petitor,7,103
petitory,8,128
Petiveria,9,105
Petiveriaceae,13,119
petkin,6,75
petling,7,83
peto,4,56
Petr,4,59
Petrarchal,10,102
Petrarchan,10,104
Petrarchesque,13,156
Petrarchian,11,113
Petrarchianism,14,154
Petrarchism,11,130
Petrarchist,11,137
Petrarchistic,13,149
Petrarchistical,15,162
Petrarchize,11,129
petrary,7,103
petre,5,64
Petrea,6,65
petrean,7,79
petreity,8,118
petrel,6,76
petrescence,11,113
petrescent,10,125
Petricola,9,99
Petricolidae,12,117
petricolous,11,153
petrie,6,73
petrifaction,12,136
petrifactive,12,134
petrifiable,11,103
petrific,8,86
petrificant,11,121
petrificate,11,112
petrification,13,145
petrified,9,92
petrifier,9,106
petrify,7,99
Petrine,7,87
Petrinism,9,123
Petrinist,9,130
Petrinize,9,122
petrissage,10,119
Petrobium,9,119
Petrobrusian,12,158
petrochemical,13,128
petrochemistry,14,194
Petrogale,9,99
petrogenesis,12,152
petrogenic,10,112
petrogeny,9,125
petroglyph,10,142
petroglyphic,12,154
petroglyphy,11,167
petrograph,10,124
petrographer,12,147
petrographic,12,136
petrographical,14,149
petrographically,16,186
petrography,11,149
petrohyoid,10,135
petrol,6,86
petrolage,9,99
petrolatum,10,141
petrolean,9,106
petrolene,9,110
petroleous,10,146
petroleum,9,125
petrolic,8,98
petroliferous,13,179
petrolific,10,113
petrolist,9,134
petrolithic,11,135
petrolization,13,180
petrolize,9,126
petrologic,10,120
petrological,12,133
petrologically,14,170
petromastoid,12,155
Petromyzon,10,167
Petromyzonidae,14,186
petromyzont,11,187
Petromyzontes,13,211
Petromyzontidae,15,206
petromyzontoid,14,215
petronel,8,105
petronella,10,118
petropharyngeal,15,181
petrophilous,12,174
petrosa,7,94
petrosal,8,106
Petroselinum,12,167
petrosilex,10,143
petrosiliceous,14,186
petrosilicious,14,190
petrosphenoid,13,164
petrosphenoidal,15,177
petrosphere,11,145
petrosquamosal,14,192
petrosquamous,13,200
petrostearin,12,160
petrostearine,13,165
petrosum,8,127
petrotympanic,13,175
petrous,7,114
petroxolin,10,148
pettable,8,81
petted,6,70
pettedly,8,107
pettedness,10,127
petter,6,84
pettichaps,10,117
petticoat,9,109
petticoated,11,118
petticoaterie,13,146
petticoatery,12,157
petticoatism,12,150
petticoatless,13,164
petticoaty,10,134
pettifog,8,98
pettifogger,11,128
pettifoggery,12,153
pettifogging,12,135
pettifogulize,13,171
pettifogulizer,14,189
pettily,7,107
pettiness,9,127
pettingly,9,128
pettish,7,97
pettitoes,9,129
pettle,6,78
petty,5,86
pettyfog,8,114
petulance,9,97
petulancy,9,117
petulant,8,109
petulantly,10,146
petune,6,81
Petunia,7,86
petuntse,8,120
petwood,7,98
petzite,7,101
Peucedanum,10,103
Peucetii,8,88
peucites,8,98
peuhl,5,62
Peul,4,54
Peumus,6,95
Peutingerian,12,139
pew,3,44
pewage,6,57
pewdom,6,76
pewee,5,54
pewfellow,9,117
pewful,6,83
pewholder,9,106
pewing,6,74
pewit,5,73
pewless,7,99
pewmate,7,83
pewter,6,87
pewterer,8,110
pewterwort,10,163
pewtery,7,112
pewy,4,69
Peyerian,8,93
peyote,6,86
peyotl,6,93
peyton,6,95
peytrel,7,101
pezantic,8,94
Peziza,6,83
Pezizaceae,10,97
pezizaceous,11,146
pezizaeform,11,140
Pezizales,9,119
peziziform,10,143
pezizoid,8,110
pezograph,9,112
Pezophaps,9,122
Pfaffian,8,59
pfeffernuss,11,135
Pfeifferella,12,101
pfennig,7,71
pfui,4,52
pfund,5,61
Phaca,5,29
Phacelia,8,55
phacelite,9,79
phacella,8,58
Phacidiaceae,12,65
Phacidiales,11,87
phacitis,8,85
phacoanaphylaxis,16,173
phacocele,9,68
phacochere,10,82
phacocherine,12,105
phacochoere,11,97
phacochoerid,12,105
phacochoerine,13,120
phacochoeroid,13,120
Phacochoerus,12,132
phacocyst,9,110
phacocystectomy,15,191
phacocystitis,13,167
phacoglaucoma,13,116
phacoid,7,56
phacoidal,9,69
phacoidoscope,13,129
phacolite,9,89
phacolith,9,92
phacolysis,10,127
phacomalacia,12,83
phacometer,10,104
phacopid,8,72
Phacopidae,10,78
Phacops,7,78
phacosclerosis,14,162
phacoscope,10,101
phacotherapy,12,136
Phaeacian,9,58
Phaedo,6,49
phaeism,7,71
phaenantherous,14,165
phaenanthery,12,135
phaenogam,9,80
Phaenogamia,11,90
phaenogamian,12,104
phaenogamic,11,92
phaenogamous,12,135
phaenogenesis,13,137
phaenogenetic,13,122
phaenological,13,118
phaenology,10,118
phaenomenal,11,104
phaenomenism,12,132
phaenomenon,11,120
phaenozygous,12,172
phaeochrous,11,129
Phaeodaria,10,78
phaeodarian,11,92
phaeophore,10,107
Phaeophyceae,12,108
phaeophycean,12,117
phaeophyceous,13,157
phaeophyll,10,118
Phaeophyta,10,115
phaeophytin,11,137
phaeoplast,10,113
Phaeosporales,13,150
phaeospore,10,118
Phaeosporeae,12,124
phaeosporous,12,168
Phaet,5,50
Phaethon,8,87
Phaethonic,10,99
Phaethontes,11,131
Phaethontic,11,119
Phaethontidae,13,126
Phaethusa,9,99
phaeton,7,79
phage,5,37
phagedena,9,61
phagedenic,10,72
phagedenical,12,85
phagedenous,11,115
Phagineae,9,66
phagocytable,12,115
phagocytal,10,108
phagocyte,9,100
phagocyter,10,118
phagocytic,10,107
phagocytism,11,136
phagocytize,11,135
phagocytoblast,14,164
phagocytolysis,14,194
phagocytolytic,14,179
phagocytose,11,134
phagocytosis,12,157
phagodynamometer,16,180
phagolysis,10,131
phagolytic,10,116
phagomania,10,85
phainolion,10,113
Phainopepla,11,113
Phajus,6,75
Phalacrocoracidae,17,133
phalacrocoracine,16,142
Phalacrocorax,13,135
phalacrosis,11,121
Phalaecean,10,66
Phalaecian,10,70
Phalaenae,9,63
Phalaenidae,11,76
phalaenopsid,12,120
Phalaenopsis,12,135
phalangal,9,72
phalange,8,64
phalangeal,10,77
phalangean,10,79
phalanger,9,82
Phalangeridae,13,101
Phalangerinae,13,111
phalangerine,12,110
phalanges,9,83
phalangette,11,109
phalangian,10,83
phalangic,9,71
phalangid,9,72
Phalangida,10,73
phalangidan,11,87
Phalangidea,11,78
phalangidean,12,92
Phalangides,11,96
phalangiform,12,120
Phalangigrada,13,99
phalangigrade,13,103
phalangigrady,13,123
phalangiid,10,81
Phalangiidae,12,87
phalangist,10,107
Phalangista,11,108
Phalangistidae,14,126
phalangistine,13,135
phalangite,10,93
phalangitic,11,100
phalangitis,11,116
Phalangium,10,102
phalangologist,14,156
phalangology,12,133
phalansterial,13,136
phalansterian,13,138
phalansterianism,16,179
phalansteric,12,126
phalansterism,13,155
phalansterist,13,162
phalanstery,11,139
phalanx,7,76
phalanxed,9,85
phalarica,9,69
Phalaris,8,84
Phalarism,9,97
phalarope,9,92
Phalaropodidae,14,125
phalera,7,61
phalerate,9,86
phalerated,10,90
Phaleucian,10,90
